1530844723,1530844739,20.7918,14.1334,5.47788,-0.0823815,20.7918,14.1334,5.47788,-0.0823815,2437,2437,2653,2653,636,636,1295,1295,2048,2048,2470,1701,
1530844739,1530844750,20.7918,14.1334,5.47788,-0.0823815,19.0878,12.975,12.975,0.226099,2437,2437,2653,2854,636,636,1295,1295,2048,2048,1701,1701,
1530844750,1530844821,19.0878,12.975,12.975,0.226099,17.0132,0.156668,12.0842,0.00699019,2437,2054,2854,3188,636,444,1295,1580,2048,2048,1701,1701,
1530844821,1530844843,17.0132,0.156668,12.0842,0.00699019,17.0332,0.156853,12.0216,0.00392079,2054,2054,3188,3186,444,443,1580,1579,2048,2048,1701,2510,
1530844881,1530844892,17.0332,0.156853,12.0216,0.00392079,17.0332,0.156853,12.0216,0.00392079,2054,2054,3186,3186,443,443,1579,1579,2048,2048,2510,2510,
1530844892,1530845007,17.0332,0.156853,12.0216,0.00392079,21.9462,-4.92819,20.4723,-0.00246775,2054,1904,3186,3033,443,1245,1579,2232,2048,2048,2510,2510,
1530845007,1530845023,21.9462,-4.92819,20.4723,-0.00246775,23.4205,-5.07088,20.7286,0.00360087,1904,1909,3033,2966,1245,1339,2232,2255,2048,2048,2510,2510,
1530845023,1530845040,23.4205,-5.07088,20.7286,0.00360087,22.4658,-5.04487,20.6221,-0.00249764,1909,1904,2966,3008,1339,1285,2255,2247,2048,2048,2510,2510,
1530845040,1530845100,22.4658,-5.04487,20.6221,-0.00249764,20.0926,2.73026,13.1401,-0.0038287,1904,2136,3008,3080,1285,639,2247,1674,2048,2048,2510,2510,
1530845100,1530845127,20.0926,2.73026,13.1401,-0.0038287,24.1151,2.90066,12.8833,-0.00548625,2136,2126,3080,2915,639,822,1674,1693,2048,2048,2510,2510,
1530845127,1530845138,24.1151,2.90066,12.8833,-0.00548625,23.7596,2.85791,15.6715,0.204673,2126,2126,2915,2920,822,821,1693,1560,2048,2048,2510,2510,
1530845138,1530845144,23.7596,2.85791,15.6715,0.204673,24.0994,2.89877,12.9206,-0.00395155,2126,2126,2920,2916,821,822,1560,1693,2048,2048,2510,2510,
1530845144,1530845171,24.0994,2.89877,12.9206,-0.00395155,20.0841,2.88622,12.9141,-0.00383377,2126,2141,2916,3073,822,626,1693,1654,2048,2048,2510,2510,
